;Nome;Endereco;Bairro;CNPJ;;;
114;POSTO ILHÉUS LTDA;RUA GENERAL JOAQUIM INÁCIO, 425;ILHA DO LEITE;03.635.534/0001-82;;;
115;POSTO MODELO LTDA.;AVENIDA PROFESSOR JOÃO MEDEIROS, 233 ;BOA VIAGEM;04.214.790/0001-69;;;
116;POSTO MODELO LTDA.;AVENIDA CAXANGA, 2864;IPUTINGA;04.214.790/0002-40;;;
117;POSTO NACIONAL - COM. DE DER. DE PETROLEO LTDA;AVENIDA MARECHAL MASCARENHAS DE MORAIS, 5803;IMBIRIBEIRA;09.120.240/0001-02;;;
118;POSTO TACARUNA LTDA;AVENIDA CRUZ CABUGA, 991 ;SANTO AMARO;04.164.913/0001-02;;;
119;POSTO XINGU LTDA.;RODOVIA BR 101, S/N, KM 71,9;JARDIM SAO PAULO;03.786.763/0001-06;;;
120;POSTO XINGU LTDA.;RUA JOAO TUDE DE MELO, 91 ;PARNAMIRIM;03.786.763/0002-89;;;
121;SERVICAR S/A;AVENIDA MANOEL BORBA, 410;BOA VISTA;09.798.307/0001-54;;;
122;SOUZA LEAO, DIDIER LTDA;RUA BADEJO, 4;BRASILIA TEIMOSA;08.725.657/0009-85;;;
123;VILA BELA COMERCIO DE COMBUSTIVEIS LTDA;VILA DO PORTO, S/N;FERNANDO DE NORONHA;07.105.859/003-76;;;
124;VILA JARDIM COMÉRCIO DE COMBUSTÍVEL LTDA;RODOVIA BR 101 SUL, S/N, KM 6,1;JARDIM SAO PAULO;10.725.669/0001-02;;;
125;WANDERLEY E CLAUDENIER LTDA;AVENIDA JOAQUI RIBEIRO, 40;CAXANGA;08.191.686/0001-57;;;
126;POSTO ESCADENSE LTDA;RUA JOAO SALES DE MENEZES;IPUTINGA;03.797.708/0003-75;;;
127;POSTO NOSSA SENHORA DOS PRAZERES LTDA;RUA BARAO DE SOUZA LEAO ;BOA VIAGEM;11.176.245/0003-52;;;
128;TEREZINHA MOURA ANDRADE;LARGO DO MERCADO DO CORDEIRO ;CORDEIRO;11.310.737/0001-27;;;
129;CANAL DISTRIBUIDORA LTDA;AVENIDA VISCONDE DE JEQUITINHONHA;BOA VIAGEM;00.193.301/0001-89;;;
130;FREVVO - POSTO E CENTRO AUTOMOTIVO LTDA ME;AVENIDA MARECHLA MASCARENHAS DE MORAIS, 2662;IMBIRIBEIRA;09.231.767/0001-04;;;
131;IGUEP-INCORPORADORA GUEDES PEREIRA LTDA;AVENIDA ENGENHEIRO ABDIAS DE CARVALHO, 1701;PRADO;11.694.577/0004-00;;;
132;IGUEP-INCORPORADORA GUEDES PEREIRA LTDA-2;AVENIDA ENGENHEIRO ABDIAS DE CARVALHO, 577;PRADO;11.694.577/0001-67;;;
133;SERRA VERDE COMBUSTIVEIS LTDA;RUA JOAO IVO DA SILVA;MADALENA;11.897.504/0001-72;;;
134;SERV- NORTE COMÉRCIO DE COMBUSTIVEIS LTDA;RUA JOSE OSORIO;MADALENA;11.366.798/0002-97;;;
135;SERV- NORTE COMÉRCIO DE COMBUSTIVEIS LTDA;AVENIDA Pres Kennedy, 3619;Peixinhos - olinda;11.366.798/0003-78;;;
136;SERV- NORTE COMÉRCIO DE COMBUSTIVEIS LTDA;AVENIDA NORTE MIGUEL ARRAES DE ALENCAR ;ENCRUZILHADA;11.366.798/0001-06;;;
137;ARROWS COMERCIAL LTDA;RUA SÃO MIGUEL;AFOGADOS;03.474.243/0001-50;;;
138;B & D COMÉRCIO DE COMBUSTÍVEL LTDA.;AVENIDA DA RECUPERAÇÃO;GUABIRABA;09.024.462/0001-13;;;
139;FERREIRA E FERREIRA COMB. LTDA;AV. BEBERIBE ;PORTO DA MADEIRA;11.806.259/0001-40;;;
140;MSL PRESTADORA DE SERVIÇOS LTDA.;RUA RIO AZUL;BOA VIAGEM;05.664.531/0001-00;;;
141;PETRO ABDIAS LTDA;AVENIDA ENGENHEIRO ABDIAS DE CARVALHO;PRADO;04.165.127/0001-11;;;
142;PETRO CAXANGA LTDA;AVENIDA CAXANGA;VARZEA;03.737.645/0001-08;;;
143;POSTO NETUNO LTDA.;AVENIDA ANTONIO DE GOÉS;PINA;11.373.214/0001-20;;;
144;POSTO SILVA E ARAUJO LTDA.;AVENIDA CAXANGA;CORDEIRO;11.373.214/0001-20;;;
145;TORRE COMERCIO DE COMBUSTIVEIS LTDA ME;RUA REAL DA TORRE;TORRE;04.172.512/0001-96;;;
146;Auto Posto Estância LTDA;Avenida Recife, 5586;Areias;21.268.135/0001-02;;;
147;POSTO AVENIDA RECIFE LTDA.;AVENIDA RECIFE;IPSEP;12.424.624/0001-15;;;
148;Posto São Cirstovão LTDA;Avenida Presidente Vargas, 19;Centro-Cabo de Santo Agostinho;11.681.483/0001-53;;;
149;Rofera Combustíveis LTDA;Rua Dom Bosco, 1104;Boa Vista;17.444.764/0001-79;;;
150;Afogados Comércio de Combustíveis LTDA;Av. Sul, 2176;Afogados;23.265.296/0001-78;;;
151;Auto Posto Afogados Combustíveis LTDA;Estrada dos Remédios, 436;Afogados;23.264.023/0001-09;;;
152;AUTO POSTO JORDAO COMBUSTIVEIS LTDA;AVENIDA MARIA IRENE;JORDAO;10.820.593/0001-96;;;
153;C & M AUTO POSTO LTDA;RODOVIA DA BR 101;BARRO;05.533.008/0001-37;;;
154;MERCANTIL LEAL LTDA;RUA PADRE INGLES ;BOA VISTA;10.970.135/0001-33;;;
155;Zeca Albuquerque Comércio de Combustíveis LTDA ME;Rua São Miguel, 1563;Afogados;13.055.821/0001-77;;;
156;ABASTECA COMERCIO DE COMBUSTIVEIS LTDA;AVENIDA CAXANGA;IPUTINGA;69.935.930/0001-33;;;
157;CUNHA DERIVADOS DE PETROLEO LTDA;AVENIDA MARECHAL MASCARENHAS DE MORAIS;IMBIRIBEIIRA;00.216.435/0001-78;;;
158;F.S. GULDE COMBUSTIVEIS LTDA;Rua Padre Lemos;Casa Amarela;08.342.361/0001-28;;;
159;G M V COMBUSTIVEIS LTDA;AVENIDA JOAQUIM RIBEIRO;VARZEA;04.527.919/0001-99;;;
160;MARLIN COMERCIAL LTDA;AV. CONSELHEIRO AGUIAR;BOA VIAGEM;05.855.532/0001-24;;;
161;POSTO IPUTINGA LTDA;AVENIDA CAXANGA, 4035;IPUTINGA;11.452.372/0001-75;;;
162;AUTO POSTO SANTO EXPEDITO LTDA;AVENIDA PROFESSOR JOAQUIM CAVALCANTI, 580;Caxangá;05.121.408/0001-35;;;
163;METRO PETROLEO LTDA.;AVENIDA PRESIDENTE DUTRA, 600;IMBIRIBEIRA;13.212.876/0001-43;;;
164;NORTE BRAZ LTDA-5;RUA SAO BENTO;AGUA FRIA;24.278.624/0005-67;;;
165;POSTO GIRASSOL LTDA;AVENIDA CAXANGÁ, 4144;IPUTINGA;08.133.100/0001-06;;;
166;POSTO NOVA MADALENA LTDA;RUA jose Bonifácio, 430;MADALENA;10.500.294/0001-74;;;
167;POSTO PETROSHOP LTDA;AVENIDA DESEMBARGADOR JOSE NEVES, 211;BOA VIAGEM;13.556.448/0001-38;;;
168;A P Janga Combustíveis LTDA;Avenida Dr Cláudio Gueiros Leite, 2297;Janga - Paulista;13.096.117/0001-62;;;
169;AUTOCAR PETROLEO COMERCIO DE COMBUSTIVEIS EIRELI ;AVENIDA CONSELHEIRO AGUIA, 2430;Boa viagem;21.097.809/0001-53;;;
170;AUTOCAR PETROLEO COMERCIO DE COMBUSTIVEIS EIRELI ;AVENIDA CAXANGÁ, 4973;Várzea;21.097.809/0002-34;;;
171;AUTOCAR PETROLEO COMERCIO DE COMBUSTIVEIS EIRELI ;RUA JOÃO FERNANDES VIEIRA, 386;Boa Vista;21.097.809/0004-04;;;
172;POSTO LETICIA PEREIRA E SANTOS LTDA;AVENIDA HERCULANDO BANDEIRA, SN ;Pina;10.997.526/0001-41;;;
173;POSTO SÃO MIGUEL;AVENIDA BERNARDO VIEIRA DE MELO ;Piedade;;;;
174;A SA BARRETO;AVENIDA DEZESSETE DE AGOSTO;CASA FORTE;10.804.326/0001-25;;;
175;ALBUQUERQUE PNEUS LTDA.;AVENIDA NORTE;ENCRUZILHADA;11.117.785/0011-75;;;
176;ALMEIDA & GULDE - COMERCIO DE COMB. LTDA;AVENIDA MARECHAL MASCARENHAS DE MORAIS;IMBIRIBEIRA;09.008.799/0001-37;;;
177;AUTO POSTO UNIVERSITARIO LTDA;AVENIDA PROFESSOR MORAES REGO ;IPUTINGA;10.385.561/0001-00;;;
178;AUTO POSTO VASCONCELOS LTDA.;AVENIDA RECIFE;ESTANCIA;05.409.092/0003-43;;;
179;BIG POSTO BENFICA LTDA;AVENIDA CAXANGA;MADALENA;06.162.886/0001-56;;;
180;CAMPELO & PIMENTEL LTDA;AVENIDA VISCONDE DE ALBUQUERQUE;TORRE;10.545.374/0001-46;;;
181;CARREFOUR COMÉRCIO E INDÚSTRIA LTDA.;RUA JOSÉ BONIFÁCIO ;TORRE;45.543.915/0282-72;;;
182;CAVALCANTE RABELO LTDA;AVENIDA CONSELHEIRO ROSA E SILVA;TAMARINEIRA;08.041.444/0001-87;;;
183;COMERCIAL RECIFE - COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA.;AVENIDA BEBERIBE ;ENCRUZILHADA;11.519.114/0001-69;;;
184;COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO;AVENIDA ENGENHEIRO DOMINGOS FERREIRA;BOA VIAGEM;47.508.411/1325-75;;;
185;COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO;ESTRADA DOS REMEDIOS ;ILHA DO RETIRO;47.508.411/1264-19;;;
186;COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO;AVENIDA ENGENHEIRO ABDIAS DE CARVALHO;MADALENA;47.508.411/1324-94;;;
187;DIVISAS COMERCIO DE COMBUSTIVEIS LTDA;AVENIDA CONSELHEIRO AGUIAR;BOA VIAGEM;01.389.574/0001-66;;;
188;DIX EMPREENDIMENTOS LTDA-2;RUA DOM BOSCO;BOA VISTA;04.409.762/0002-88;;;
189;E. A. S. COMERCIO DE COMBUSTIVEIS LTDA;RUA SÃO MIGUEL;JIQUIA;12.423.068/0001-62;;;
190;E.U. TENORIO NETO COMBUSTIVEIS;AVENIDA MARECHAL MASCARENHAS DE MORAIS;IMBIRIBEIRA;09.021.367/0001-66;;;
191;G M V COMBUSTIVEIS LTDA;AVENIDA JOAQUIM RIBEIRO;VARZEA;04.527.919/0001-99;;;
192;GRAÇAS COMBUSTÍVEIS LTDA.;AVENIDA CONSELHEIRO ROSA E SILVA ;GRAÇAS;10.385.745/0001-70;;;
193;LETICIA PEREIRA;AVENIDA HERCULANO BANDEIRA;PINA;10.997.526/0001-41;;;
194;M M PETROLEO LTDA;AVENIDA GOVERNADOR AGAMENON MAGALHAES;SANTO AMARO;00.935.571/0001-18;;;
195;MAKRO ATACADISTA S/A.;AVENIDA RECIFE;ESTANCIA;47.427.653/0041-02;;;
196;MALIBU PETROLEO LTDA.;AVENIDA CONSELHEIRO AGUIAR;BOA VIAGEM;13.213.542/0001-94;;;
197;MONTENEGRO QUEIROZ LTDA;AVENIDA MARECHAL MASCARENHAS DE MORAIS;IMBIRIBEIRA;01.301.212/0001-71;;;
198;NODEPEL NOVAES DERIVADOS DE PETROLEO LTDA;AVENIDA MARECHAL MASCARENHAS DE MORAIS;IMBIRIBEIRA;24.062.176/0001-36;;;
199;NORTE PETROLEO LTDA;AVENIDA NORTE;ALTO JOSÉ DO PINHO;04.245.511/0001-24;;;
200;NOVA ERA DERIVADOS DE PETROLEO LTDA-2;AVENIDA ENGENHEIRO ABDIAS DE CARVALHO;MADALENA;02.802.949/0002-11;;;
201;ORGANIZACAO DE PETROLEO SHOPPING LTDA;ESTRADA DOS REMEDIOS;AFOGADOS;09.044.272/0003-20;;;
202;PARCERIA COMERCIO DE DERIVADOS DE PETROLEO LTDA;AVENIDA MARECHAL MASCARENHAS DE MORAIS;IMBIRIBEIRA;12.666.410/0001-55;;;
